NeighbourhoodName,NeighbourhoodNumber,CMHCZone,rent2019,rent2020,rent2021,rent2022,rent2023,rent2024,CityZone,CenterLocation,CrimeOccurances,CrimeRate,WalkScore,TransitScore,BikeScore,Population,rent2025,Distance to U of A (km),Distance to MacEwan (km),Distance to NAIT (km),Distance to Concordia (km),Distance to NorQuest (km),NewResidentialUnits2023,NumCurrentListings,SupportiveHousingCount,SupportiveUnits,SheltersCount
Mayfield,4290,5.0,1035.0,1032.0,1016.0,1038.0,1103.0,1195.0,21.0,"(53.5550180328723, -113.59817021652945)",119.0,0.06,29.0,45.0,19.0,1992.0,1372,5.914473613,6.069530318,6.566157465,10.12239757,6.212447396,4,2,0,0,0
Quesnell Heights,4420,5.0,1035.0,1032.0,1016.0,1038.0,1103.0,1195.0,22.0,"(53.509354322966445, -113.57353363357674)",8.0,0.02,34.0,52.0,28.0,330.0,1800,3.50638482,6.079349213,8.118329341,10.19088094,5.898931087,0,0,0,0,0
Lynnwood,4280,5.0,1035.0,1032.0,1016.0,1038.0,1103.0,1195.0,22.0,"(53.515701325038734, -113.58990906542579)",84.0,0.03,44.0,54.0,26.0,3266.0,1449,4.306693021,6.494526258,8.284888917,10.76753874,6.380086618,0,6,0,0,0
Crestwood,3140,5.0,1035.0,1032.0,1016.0,1038.0,1103.0,1195.0,10.0,"(53.53543354824776, -113.56903784929617)",108.0,0.05,51.0,50.0,46.0,2278.0,1514,3.127780914,4.285043113,5.780275277,8.6282195,4.26987906,7,7,0,0,0
Edgemont,4462,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,57.0,"(53.46974341660044, -113.67084271935684)",130.0,0.04,1.0,23.0,33.0,3500.0,1767,11.30547252,13.85044424,15.70075661,18.01071714,13.69648534,480,185,0,0,0
Cameron Heights,4466,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,20.0,"(53.474126648696625, -113.63435942674349)",20.0,0.03,2.0,23.0,34.0,633.0,1618,9.034637521,11.70695905,13.69583486,15.75901816,11.5219579,7,10,0,0,0
Wedgewood Heights,4570,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,20.0,"(53.4787144942962, -113.64658024116764)",15.0,0.02,22.0,28.0,31.0,979.0,1389,9.41017073,11.97053573,13.85766387,16.11704566,11.81093735,0,0,0,0,0
Donsdale,4120,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,20.0,"(53.48563017460971, -113.63546017525792)",13.0,0.01,32.0,30.0,39.0,1311.0,4110,8.380104369,10.91169654,12.79117939,15.07506205,10.75628887,1,0,0,0,0
The Hamptons,4461,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,58.0,"(53.48738559961549, -113.6756873811716)",179.0,0.02,32.0,30.0,32.0,8073.0,2050,10.6955841,12.99338372,14.64597713,17.27225001,12.88597068,4,0,0,0,0
Jamieson Place,4220,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,20.0,"(53.48870738325546, -113.64901968121586)",58.0,0.02,33.0,34.0,39.0,3756.0,1825,9.016119701,11.42596682,13.19771989,15.65659504,11.29520163,0,1,0,0,0
Ormsby Place,4380,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,20.0,"(53.49910557146923, -113.64276057125781)",101.0,0.02,35.0,39.0,33.0,4889.0,1750,8.188890265,10.44836873,12.12542543,14.73076231,10.34201364,0,4,0,0,0
Glastonbury,4720,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,58.0,"(53.5031873362953, -113.66986988320716)",183.0,0.05,30.0,33.0,23.0,3793.0,1475,9.788121679,11.83128369,13.3070084,16.16257872,11.76415127,46,5,0,0,0
Granville,4551,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,58.0,"(53.504871648389766, -113.68279691182721)",126.0,0.07,25.0,30.0,16.0,1742.0,1815,10.58574796,12.54454994,13.93687654,16.88486826,12.49239826,5,3,0,0,0
Lymburn,4270,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,20.0,"(53.507532410348745, -113.64230021562753)",128.0,0.02,23.0,44.0,31.0,5545.0,1675,7.896707719,9.971585841,11.52602602,14.29328086,9.893863737,0,2,0,0,0
Aldergrove,4020,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,20.0,"(53.51688846994692, -113.6412419909567)",83.0,0.02,23.0,59.0,21.0,5010.0,1519,7.658233953,9.489032517,10.88577817,13.83190919,9.446291734,0,3,0,0,0
Potter Greens,4710,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,58.0,"(53.51827868887517, -113.6726003231069)",40.0,0.03,19.0,44.0,12.0,1407.0,2980,9.719864682,11.41106688,12.63079501,15.75070659,11.39573146,0,0,0,0,0
Suder Greens,4730,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,58.0,"(53.52458649056212, -113.6772761921058)",82.0,0.04,18.0,44.0,13.0,1881.0,1655,10.01243541,11.53434478,12.62126287,15.85628059,11.54324833,0,0,0,0,0
Belmead,4040,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,20.0,"(53.525602960949286, -113.64101499679995)",854.0,0.18,25.0,57.0,29.0,4797.0,1489,7.610276486,9.17293403,10.39333781,13.50909321,9.166577074,0,8,0,0,0
La Perle,4240,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,20.0,"(53.533087545724655, -113.64070859781111)",159.0,0.03,22.0,47.0,30.0,4593.0,1737,7.660123665,8.969280335,10.01936802,13.27502863,8.995839632,0,4,0,0,0
Terra Losa,4540,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,20.0,"(53.53329320007971, -113.62217806434573)",549.0,0.24,28.0,50.0,27.0,2246.0,1426,6.449273988,7.758291966,8.892629212,12.076275,7.776824883,0,2,0,0,0
Secord,4487,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,58.0,"(53.53386206881386, -113.70135225077067)",212.0,0.41,2.0,24.0,12.0,518.0,1495,11.6641514,12.93605356,13.78240251,17.19910131,12.98287268,355,66,0,0,0
Lewis Farms Industrial,4485,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,58.0,"(53.53754834040025, -113.6828640973079)",54.0,0.61,22.0,36.0,21.0,89.0,1450,10.4974963,11.67378145,12.49082437,15.92218822,11.72939964,0,0,0,0,0
Dechene,4110,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,20.0,"(53.49043609387975, -113.6359530507595)",28.0,0.01,36.0,39.0,28.0,1869.0,2714,8.152902821,10.60949393,12.43448571,14.81471881,10.46818473,0,0,0,0,0
Gariepy,4160,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,20.0,"(53.49359649611536, -113.6226568962673)",28.0,0.02,37.0,39.0,34.0,1803.0,1733,7.207252074,9.694542233,11.56305925,13.87991286,9.545163815,0,0,0,0,0
Callingwood South,4080,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,20.0,"(53.50051487931529, -113.62303087351475)",294.0,0.06,52.0,41.0,47.0,4808.0,1599,6.907947394,9.260095226,11.03912159,13.50541734,9.134084661,0,29,0,0,0
Westridge,4610,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,22.0,"(53.50562209269329, -113.60137155550291)",33.0,0.03,19.0,47.0,28.0,1284.0,1250,5.362450553,7.759422779,9.619680972,11.97656701,7.61958166,1,0,0,0,0
Rio Terrace,4430,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,22.0,"(53.50731420851918, -113.58454862423845)",21.0,0.02,10.0,46.0,26.0,1196.0,1750,4.263050719,6.77166655,8.742861517,10.92679578,6.607079279,3,3,0,0,0
Callingwood North,4070,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,20.0,"(53.50759781942617, -113.62302473067683)",120.0,0.04,32.0,53.0,36.0,2742.0,1549,6.655247521,8.840383669,10.51438137,13.13464143,8.740684648,0,29,0,0,0
Breckenridge Greens,4700,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,58.0,"(53.516525721975796, -113.68435099579185)",22.0,0.01,12.0,37.0,17.0,2033.0,1950,10.51080605,12.21387771,13.41711048,16.55296118,12.19918188,0,0,0,0,0
Thorncliff,4560,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,20.0,"(53.51669839372241, -113.62282783087267)",121.0,0.03,32.0,66.0,21.0,3694.0,1644,6.446101945,8.368025187,9.88146441,12.70265347,8.306319142,0,14,0,0,0
Summerlea,4520,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,20.0,"(53.52562655378806, -113.6226333201063)",208.0,0.1,44.0,62.0,23.0,2104.0,1452,6.391958663,8.00263536,9.325868387,12.34502486,7.982696581,0,2,0,0,0
Webber Greens,4740,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,58.0,"(53.53030969388328, -113.67660757308009)",53.0,0.08,15.0,38.0,13.0,655.0,1773,9.995319994,11.36746187,12.34666261,15.66500997,11.39621731,1,6,0,0,0
Glenwood,4180,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,22.0,"(53.536416563291034, -113.60276981012993)",681.0,0.14,44.0,54.0,29.0,4963.0,1400,5.268916774,6.428346465,7.588396424,10.74341069,6.453342813,47,25,0,0,0
Oleskiw,4360,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,22.0,"(53.54198293050736, -113.52399393494247)",35.0,0.01,20.0,36.0,32.0,2429.0,1809,2.0605949,1.239602145,3.292807249,5.571735032,1.196794901,1,0,0,0,0
Westview Village,4620,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,59.0,"(53.55222205586075, -113.69666819933443)",93.0,0.1,8.0,25.0,17.0,897.0,1100,11.73721675,12.5487349,13.04688035,16.65756484,12.65292732,0,0,0,0,0
Winterburn Industrial Area West,4670,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,59.0,"(53.56280361434664, -113.70139052289608)",147.0,0.09,5.0,24.0,2.0,1718.0,2167,12.40200968,12.96391829,13.24782991,16.94749855,13.09907006,0,0,0,0,0
Kinglet Gardens,4477,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,59.0,"(53.577379047227296, -113.70141745981881)",35.0,0.25,6.0,24.0,10.0,138.0,1922,13.06221102,13.27766717,13.27019598,17.05182925,13.45294845,130,9,0,0,0
Kinokamau Plains Area,4475,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,40.0,"(53.58508423157136, -113.62044143125405)",58.0,0.26,30.0,47.0,27.0,222.0,1400,9.266046177,8.584343835,8.083472442,11.90560538,8.836958814,0,0,0,0,0
Hawks Ridge,4473,6.0,1279.0,1262.0,1258.0,1287.0,1365.0,1509.0,59.0,"(53.58845698097355, -113.70146644240913)",32.0,0.04,6.0,24.0,10.0,742.0,1637,13.67343779,13.64268412,13.4208447,17.23499589,13.84530214,103,3,0,0,0
Edmonton South Central,8887,7.0,1269.0,1271.0,1295.0,1333.0,1410.0,1519.0,32.0,"(53.366757392119766, -113.58612683163992)",43.0,0.51,39.0,44.0,51.0,85.0,1482,17.89372622,20.75642207,23.13355141,23.45951179,20.43107875,0,0,0,0,0
Desrochers Area,5463,7.0,1269.0,1271.0,1295.0,1333.0,1410.0,1519.0,55.0,"(53.39967245522028, -113.55302309853884)",90.0,0.08,27.0,37.0,39.0,1100.0,1586,13.89728986,16.70129351,19.08698209,19.23123413,16.3643632,126,3,0,0,0
Allard,5458,7.0,1269.0,1271.0,1295.0,1333.0,1410.0,1519.0,55.0,"(53.40130058621988, -113.5266410946518)",115.0,0.02,34.0,50.0,49.0,6800.0,1645,13.60245499,16.29410087,18.67257578,18.47970641,15.94348678,14,5,0,0,0
Chappelle,5462,7.0,1269.0,1271.0,1295.0,1333.0,1410.0,1519.0,55.0,"(53.40308104313948, -113.58684392227269)",297.0,0.04,27.0,37.0,39.0,8300.0,1852,13.99407631,16.88858621,19.24981431,19.83618368,16.57499951,352,31,0,0,0
Cavanagh,5467,7.0,1269.0,1271.0,1295.0,1333.0,1410.0,1519.0,55.0,"(53.4059814953449, -113.51201888482001)",61.0,0.06,27.0,37.0,39.0,956.0,1100,13.11590992,15.72646696,18.09092633,17.71588492,15.36979943,31,1,0,0,0
Callaghan,5457,7.0,1269.0,1271.0,1295.0,1333.0,1410.0,1519.0,55.0,"(53.4073451635787, -113.52679196283633)",77.0,0.08,19.0,33.0,44.0,949.0,1639,12.92975196,15.62431785,18.00352173,17.8400543,15.27417547,98,17,0,0,0
Rutherford,5454,7.0,1269.0,1271.0,1295.0,1333.0,1410.0,1519.0,55.0,"(53.41676484779562, -113.52978802448754)",150.0,0.02,24.0,36.0,41.0,6903.0,1795,11.88359283,14.5985156,16.98064171,16.90801721,14.25070853,0,14,0,0,0
Keswick,5574,7.0,1269.0,1271.0,1295.0,1333.0,1410.0,1519.0,56.0,"(53.41758706862364, -113.63221244612657)",130.0,0.07,22.0,32.0,36.0,1900.0,1114,13.72763254,16.63728402,18.89046386,20.12731823,16.36970185,324,42,0,0,0
Glenridding Heights,5578,7.0,1269.0,1271.0,1295.0,1333.0,1410.0,1519.0,56.0,"(53.41759919038519, -113.60666038260204)",68.0,0.02,22.0,32.0,36.0,3800.0,1925,12.93955188,15.8605001,18.17395563,19.12958977,15.57049217,238,15,0,0,0
Hays Ridge Area,5465,7.0,1269.0,1271.0,1295.0,1333.0,1410.0,1519.0,55.0,"(53.41762228220526, -113.57770281807092)",29.0,0.07,27.0,37.0,39.0,438.0,2956,12.26992571,15.16158972,17.52467998,18.1238711,14.84718648,32,0,0,0,0
Blackmud Creek,5453,7.0,1269.0,1271.0,1295.0,1333.0,1410.0,1519.0,55.0,"(53.41966051994985, -113.51078782887589)",54.0,0.03,39.0,36.0,45.0,1882.0,1672,11.60500241,14.20289458,16.56654077,16.22355542,13.84591453,0,1,0,0,0
Graydon Hill,5468,7.0,1269.0,1271.0,1295.0,1333.0,1410.0,1519.0,55.0,"(53.421257265220234, -113.55929691911105)",17.0,0.03,27.0,37.0,39.0,604.0,1707,11.59013211,14.43851002,16.81846119,17.20105369,14.11105078,0,7,0,0,0
Richford,5451,7.0,1269.0,1271.0,1295.0,1333.0,1410.0,1519.0,55.0,"(53.42726985859359, -113.50739446923973)",15.0,0.02,32.0,36.0,32.0,688.0,1745,10.78565336,13.35437157,15.71319848,15.34718662,12.99600818,1,0,0,0,0
MacEwan,5452,7.0,1269.0,1271.0,1295.0,1333.0,1410.0,1519.0,55.0,"(53.42874568503817, -113.52694799663772)",269.0,0.06,28.0,37.0,35.0,4351.0,1577,10.54804422,13.25296772,15.63463222,15.58911762,12.90472638,1,9,0,0,0
Blackburne,5590,7.0,1269.0,1271.0,1295.0,1333.0,1410.0,1519.0,55.0,"(53.42907132874183, -113.49830890626279)",10.0,0.01,15.0,34.0,22.0,1156.0,1674,10.67496302,13.16809666,15.50970374,15.00226923,12.80621922,0,0,0,0,0
