Neighbourhood_Name,Neighbourhood_Number,CMHC_Zone,rent_2019,rent_2020,rent_2021,rent_2022,rent_2023,rent_2024,City_Zone,Center_Location,Crime_Occurances,Crime_Rate,Walk_Score,Transit_Score,Bike_Score,Population,rent_2025,Distance to U of A (km),Distance to MacEwan (km),Distance to NAIT (km),Distance to Concordia (km),Distance to NorQuest (km),New_Residential_Units_2023,Num_Current_Listings,Supportive_Housing_Count,Supportive_Units,Shelters_Count,
King Edward Park,6360,8,1099,1091,1090,1124,1129,1307,17,"(53.51515115710009, -113.45056960512973)",409,0.10,67,60,60,4136,1354,5.10995296,5.199521922,6.827384711,5.020071865,4.897057016,28,26,1,5,0,
Idylwylde,6320,8,1099,1091,1090,1124,1129,1307,18,"(53.52162991562302, -113.44911385650465)",152,0.09,71,62,53,1740,1621,5.124830295,4.810153167,6.264640309,4.294562102,4.537061899,7,12,0,0,0,
Kenilworth,6350,8,1099,1091,1090,1124,1129,1307,18,"(53.52163312262259, -113.43104243926484)",111,0.04,50,49,35,2622,1504,6.322564015,5.818324853,7.001654385,4.396375458,5.576937212,12,7,0,0,0,
Bonnie Doon,6040,8,1099,1091,1090,1124,1129,1307,18,"(53.52533712511544, -113.46711141152339)",685,0.16,70,61,59,4292,1454,3.931875155,3.624035799,5.313210319,4.128348626,3.32785506,29,31,0,0,0,
Bonaventure Industrial,4050,10,,,,,,,40,"(53.591524962604986, -113.57216038894214)",99,,30,56,29,0,,8.155611648,6.527383932,5.330864208,9.076946562,6.85474944,0,0,0,0,0,
Ottewell,6550,8,1099,1091,1090,1124,1129,1307,18,"(53.531285183984444, -113.43074600678096)",610,0.10,45,48,44,5861,1400,6.396660902,5.39192677,6.258644507,3.362655083,5.204759817,5,4,0,0,0,
Strathearn,6710,8,1099,1091,1090,1124,1129,1307,18,"(53.53129197947159, -113.4640466579738)",176,0.07,53,51,44,2563,1816,4.219250806,3.386417902,4.825528929,3.43634111,3.138549045,57,0,0,0,0,
Holyrood,6310,8,1099,1091,1090,1124,1129,1307,18,"(53.531360581789265, -113.45018981983952)",195,0.06,52,54,47,3273,1545,5.123423648,4.192975828,5.352227336,3.219480289,3.977061673,86,7,0,0,0,
Cloverdale,6070,8,1099,1091,1090,1124,1129,1307,18,"(53.53685804851008, -113.47401190482636)",62,0.06,33,60,50,1013,1691,3.772855096,2.505319249,3.961414035,3.20260393,2.283223099,0,3,0,0,0,
Terrace Heights,6730,8,1099,1091,1090,1124,1129,1307,19,"(53.54208074325996, -113.43780112969927)",124,0.06,55,48,45,2107,1350,6.222297738,4.657840191,5.148053963,2.078829193,4.5443749,0,4,1,47,0,
