Neighbourhood_Name,Neighbourhood_Number,CMHC_Zone,rent_2019,rent_2020,rent_2021,rent_2022,rent_2023,rent_2024,City_Zone,Center_Location,Crime_Occurances,Crime_Rate,Walk_Score,Transit_Score,Bike_Score,Population,rent_2025,Distance to U of A (km),Distance to MacEwan (km),Distance to NAIT (km),Distance to Concordia (km),Distance to NorQuest (km),New_Residential_Units_2023,Num_Current_Listings,Supportive_Housing_Count,Supportive_Units,Shelters_Count,
Blackburne,5590,7,1269,1271,1295,1333,1410,1519,55,"(53.42907132874183, -113.49830890626279)",10,0.01,15,34,22,1156,1674,10.67496302,13.16809666,15.50970374,15.00226923,12.80621922,0,0,0,0,0,
Edmonton South Central East,8885,9,,,,,,,33,"(53.38126479866277, -113.45516359879298)",5,,39,44,51,0,,16.52291081,18.7989193,21.05628747,19.92036446,18.43117116,0,0,0,0,0,
Ambleside,5505,7,1269,1271,1295,1333,1410,1519,56,"(53.43064140009593, -113.6006766240175)",235,0.13,28,33,38,1741,1729,11.45543433,14.37661366,16.68178107,17.70941657,14.09063336,5,16,0,0,0,
Windermere,5570,7,1269,1271,1295,1333,1410,1519,56,"(53.432341721819526, -113.62668789063943)",430,0.55,17,30,35,779,1841,12.14017279,15.03792324,17.2676941,18.61975105,14.77913263,42,39,0,0,0,
Mattson,6667,9,,,,,,,53,"(53.403141113281414, -113.430407385962)",29,,23,34,30,,"1,707.00",14.83486745,16.83726299,18.99245008,17.50502845,16.47045887,4,2,0,0,0,
Mactaggart,5477,7,1269,1271,1295,1333,1410,1519,14,"(53.437903117432406, -113.56104656101327)",46,0.01,62,50,56,3400,1622,9.803747085,12.67871628,15.05011191,15.6131517,12.35915686,1,1,0,0,0,
Ellerslie Industrial,6214,9,,,,,,,54,"(53.4139843472626, -113.4881529665484)",286,,18,32,26,0,800,12.45148841,14.8886273,17.21058082,16.51151892,14.52430493,0,0,0,0,0,
Meltwater,6668,9,,,,,,,53,"(53.41518464722883, -113.40584157834991)",15,,23,34,30,0,"1,170.00",14.47012872,16.17539615,18.20096061,16.35044227,15.8151083,0,0,0,0,0,
South Terwillegar,5642,7,1269,1271,1295,1333,1410,1519,14,"(53.44024696928342, -113.57902407054075)",169,0.02,42,50,37,9800,,9.906432441,12.82058065,15.15974194,16.01334173,12.52008144,1,0,0,0,0,
Bearspaw,5030,7,1269,1271,1295,1333,1410,1519,16,"(53.44346178229486, -113.50052801092731)",29,0.02,23,49,34,1824,1395,9.073142129,11.56163015,13.90673129,13.48873535,11.2002167,0,0,0,0,0,
Twin Brooks,5511,7,1269,1271,1295,1333,1410,1519,16,"(53.444688598338075, -113.53149747768364)",63,0.01,19,44,26,4975,1745,8.780336539,11.52607379,13.91151899,14.0570902,11.18319544,0,2,0,0,0,
Magrath Heights,5476,7,1269,1271,1295,1333,1410,1519,14,"(53.447688501239554, -113.5567204318348)",69,0.03,45,44,26,2243,1505,8.677664236,11.55275941,13.92377667,14.52559472,11.23379482,103,3,0,0,0,
Alces,6669,9,,,,,,,53,"(53.43321723990721, -113.35606800230053)",,,23,34,30,,,15.12532884,16.19135052,17.88147548,15.32869473,15.85964889,16,0,0,0,0,
Keheewin,5250,7,1269,1271,1295,1333,1410,1519,16,"(53.45024253042074, -113.50451286886053)",407,0.16,53,59,50,2569,1400,8.282932706,10.79948802,13.15322247,12.84152256,10.43971656,0,4,1,1,0,
Skyrattler,5460,7,1269,1271,1295,1333,1410,1519,16,"(53.450329993722676, -113.5228735177531)",86,0.05,50,68,54,1577,1459,8.148955314,10.83587014,13.21723945,13.25382114,10.48734988,0,5,0,0,0,
Terwillegar Towne,5640,7,1269,1271,1295,1333,1410,1519,14,"(53.450670254858366, -113.57773843364404)",97,0.02,44,47,35,5855,1699,8.797025191,11.71633325,14.0425783,15.00956781,11.42256986,0,28,0,0,0,
Haddow,5610,7,1269,1271,1295,1333,1410,1519,14,"(53.45474982269482, -113.59648877723627)",48,0.01,27,45,44,3422,1750,8.959614558,11.86830973,14.12802022,15.41978066,11.60141601,0,2,0,0,0,
Edmonton Research and Development Park,6190,9,,,,,,,,"(53.44622031239629, -113.47303198803755)",11,,22,41,32,0,,9.301956611,11.47592548,13.73156502,12.81055009,11.10799301,0,0,0,0,0,
Ermineskin,5180,7,1269,1271,1295,1333,1410,1519,16,"(53.45763949070286, -113.50572830529148)",388,0.09,59,65,55,4485,1519,7.458514594,9.975106697,12.33156853,12.0860877,9.61588761,0,24,0,0,0,
South Edmonton Common,6195,9,,,,,,,,"(53.446694303499584, -113.48607861166045)",675,,28,49,40,0,"1,840.00",8.957923776,11.28267557,13.58617811,12.9100006,10.91654698,0,0,0,0,0,
Allendale,5010,7,1269,1271,1295,1333,1410,1519,15,"(53.502277000041005, -113.50482110987949)",399,0.16,67,47,83,2555,1250,2.761103594,5.009662478,7.363651738,7.542549917,4.64887317,22,23,0,0,0,
Heritage Valley Town Centre,5464,7,1269,1271,1295,1333,1410,1519,55,"(53.406307783628264, -113.54399048481031)",270,0.43,27,37,39,634,1575,13.0978577,15.87304619,18.25899553,18.32511188,15.53197513,218,113,0,0,0,
Blackmud Creek Ravine,5050,7,1269,1271,1295,1333,1410,1519,,"(53.44686992900772, -113.52416566866415)",5,0.01,37,63,53,867,,8.532029865,11.22742381,13.60934274,13.64237822,10.8794116,0,0,0,0,0,
Blue Quill,5060,7,1269,1271,1295,1333,1410,1519,16,"(53.45762652284968, -113.52623651525523)",233,0.05,49,66,54,4679,1529,7.333682278,10.05279473,12.43734368,12.60163152,9.708068512,0,12,0,0,0,
Aster,6445,9,,,,,,,30,"(53.451654121975196, -113.35822962579826)",23,,40,42,46,0,"1,562.00",13.72819233,14.53876322,16.10645397,13.39770344,14.22111654,228,5,0,0,0,
Blue Quill Estates,5070,7,1269,1271,1295,1333,1410,1519,16,"(53.45762655664967, -113.540194987143)",36,0.04,31,48,33,998,1562,7.391285847,10.20863934,12.59220583,13.02148342,9.877170222,0,2,0,0,0,
Mill Woods Park,6510,9,,,,,,,,"(53.455865412567505, -113.44130550374629)",85,,67,66,49,0,"1,366.00",9.409398405,11.08039597,13.15053185,11.61137881,10.71852147,0,0,0,0,0,
Hodgson,5620,7,1269,1271,1295,1333,1410,1519,14,"(53.45767349895661, -113.5598072004897)",44,0.02,46,46,42,2393,1542,7.658125848,10.55688056,12.91427696,13.69135546,10.24746839,0,4,0,0,0,
Leger,5630,7,1269,1271,1295,1333,1410,1519,14,"(53.45769067931765, -113.57742198496669)",148,0.05,45,49,42,2999,1539,8.073619099,10.994788,13.30831183,14.36923024,10.70722646,0,0,0,0,0,
Parsons Industrial,6570,9,,,,,,,41,"(53.45979539100357, -113.47938184219882)",680,,36,48,40,0,,7.746333463,9.911965672,12.17872413,11.39211751,9.544173392,0,0,0,0,0,
Steinhauer,5470,7,1269,1271,1295,1333,1410,1519,16,"(53.464528819662604, -113.50593802287744)",80,0.03,47,59,43,2393,1495,6.703375632,9.208248831,11.56534852,11.36979471,8.849100165,1,2,0,0,0,
Carter Crest,5130,7,1269,1271,1295,1333,1410,1519,14,"(53.46488524756335, -113.57780188767926)",14,0.01,34,44,37,1364,1487,7.366219958,10.28557506,12.58044304,13.75792142,10.00653287,0,0,0,0,0,
Ogilvie Ridge,5300,7,1269,1271,1295,1333,1410,1519,14,"(53.46490391645047, -113.56706908565178)",10,0.01,26,41,32,1191,1500,7.062133092,9.981043092,12.30997158,13.31393152,9.687181432,0,0,0,0,0,
Falconer Heights,5190,7,1269,1271,1295,1333,1410,1519,14,"(53.46672055024967, -113.58852370186142)",56,0.04,59,42,40,1559,1558,7.550190379,10.45123644,12.70001418,14.06989595,10.18976262,0,0,0,0,0,
Henderson Estates,5230,7,1269,1271,1295,1333,1410,1519,14,"(53.467635236018154, -113.59744728013634)",14,0.01,37,40,33,2058,1577,7.808249954,10.68302295,12.89055758,14.40219399,10.43560421,0,0,0,0,0,
Westbrook Estates,5540,7,1269,1271,1295,1333,1410,1519,16,"(53.46821272942084, -113.54445207696077)",34,0.03,14,35,17,1175,1329,6.272025749,9.132394068,11.5073436,12.15188858,8.811055501,6,2,0,0,0,
Whitemud Creek Ravine South,5560,7,1269,1271,1295,1333,1410,1519,,"(53.46849885495364, -113.56034051783959)",11,0.01,16,33,31,2154,1300,6.526639433,9.440212798,11.78143931,12.72563578,9.140584036,0,0,0,0,0,
Greenfield,5220,7,1269,1271,1295,1333,1410,1519,16,"(53.47107265311551, -113.52750541724342)",110,0.03,31,48,39,3808,1452,5.837724646,8.582327074,10.96831829,11.3041246,8.242050564,0,2,0,0,0,
Duggan,5160,7,1269,1271,1295,1333,1410,1519,16,"(53.47151002842159, -113.50605757655529)",150,0.03,39,52,42,4289,1995,5.942626066,8.431234838,10.78883524,10.6488123,8.072110828,0,9,0,0,0,
Rhatigan Ridge,5350,7,1269,1271,1295,1333,1410,1519,14,"(53.47450614555052, -113.58756912095251)",36,0.01,43,40,28,3012,1935,6.802856361,9.683139488,11.90359846,13.39693184,9.432749933,0,2,0,0,0,
Bulyea Heights,5100,7,1269,1271,1295,1333,1410,1519,14,"(53.474747116841655, -113.5694240101385)",25,0.01,21,40,17,3016,2045,6.135816936,9.055049726,11.35209468,12.56015338,8.776430879,1,1,0,0,0,
River Valley Terwillegar,5380,7,1269,1271,1295,1333,1410,1519,,"(53.476837905414634, -113.61256966985235)",9,0.01,46,60,37,768,1482,7.729964826,10.48765791,12.56902058,14.44157007,10.27948885,0,0,0,0,0,
Aspen Gardens,5020,7,1269,1271,1295,1333,1410,1519,16,"(53.47753531391314, -113.5456643078709)",20,0.01,20,41,27,1416,1309,5.276478056,8.16211702,10.52687257,11.33842175,7.84930718,2,9,0,0,0,
Rideau Park,5360,7,1269,1271,1295,1333,1410,1519,16,"(53.47903247647679, -113.50593303233492)",86,0.04,57,63,32,2118,1507,5.132764029,7.594194965,9.951714763,9.874628799,7.234921022,0,5,0,0,0,
Royal Gardens,5430,7,1269,1271,1295,1333,1410,1519,16,"(53.47941921545693, -113.52805526262651)",127,0.04,35,56,42,3410,1517,4.909613673,7.672251558,10.05809839,10.51743188,7.335578466,2,5,0,0,0,
Ramsay Heights,5340,7,1269,1271,1295,1333,1410,1519,14,"(53.48336762348087, -113.57903399186384)",55,0.02,25,43,35,3502,1469,5.674980241,8.547895215,10.76648562,12.30011425,8.300158705,0,4,0,0,0,
Empire Park,5170,7,1269,1271,1295,1333,1410,1519,15,"(53.484366264270875, -113.50585873132425)",871,0.16,70,62,42,5294,1527,4.56424684,7.000707775,9.358196285,9.332692763,6.641317145,0,37,0,0,0,
Mill Woods Golf Course,6500,9,,,,,,,,"(53.48206208549219, -113.43042543572955)",9,,62,63,51,0,"1,370.00",7.859857682,8.877637153,10.70904278,8.750804215,8.537905958,0,0,0,0,0,
Papaschase Industrial,6560,9,,,,,,,41,"(53.484285034295155, -113.47864585672285)",115,,36,48,40,0,,5.392051727,7.265981401,9.486737368,8.723462912,6.898215825,1,0,0,0,0,
Malmo Plains,5280,7,1269,1271,1295,1333,1410,1519,15,"(53.48567699323439, -113.52899210578676)",142,0.04,31,55,30,3472,1462,4.215533631,7.000299389,9.38482097,9.963063552,6.667925736,0,8,0,0,0,
